# This is a data file of approximate electric field vectors
# Variable: N=10, Top=4, Right=1, Bottom=-4, Left=2, Front=2, Back=2, cycles=1000, Length=5

# X	Y	Z	Ex	Ey	Ez
2.5	2	3	0.0721615	0.0162552	-0.492943
2.5	2	3.5	0.0778464	0.0015403	-0.541032
2.5	2	4	0.0704577	-0.00790081	-0.376564
2.5	2	4.5	0.0444286	-0.00867372	-4.87287
2.5	2.5	0.5	-0.0114308	-0.0483096	-1.47181
2.5	2.5	1	-0.00475106	-0.0691547	-1.03523
2.5	2.5	1.5	0.0150377	-0.0663848	-0.796217
2.5	2.5	2	0.0383814	-0.0518102	-0.628103
2.5	2.5	2.5	0.0591096	-0.0337413	-0.533677
2.5	2.5	3	0.0739365	-0.0162552	-0.507658
2.5	2.5	3.5	0.0798823	-0.0015403	-0.550473
2.5	2.5	4	0.0723045	0.00790081	-0.377337
2.5	2.5	4.5	0.0455559	0.00867372	-4.86419
2.5	3	0.5	-0.0108474	-0.17478	-1.49265
2.5	3	1	-0.00407524	-0.234935	-1.03246
2.5	3	1.5	0.0152832	-0.214859	-0.781643
2.5	3	2	0.0379154	-0.161915	-0.610034
2.5	3	2.5	0.0579073	-0.102322	-0.516191
2.5	3	3	0.0721615	-0.0463665	-0.492943
2.5	3	3.5	0.0778464	0.00131757	-0.541032
2.5	3	4	0.0704577	0.0335359	-0.376564
2.5	3	4.5	0.0444286	0.0366357	-4.87287
2.5	3.5	0.5	-0.00911893	-0.431274	-1.55281
2.5	3.5	1	-0.00226438	-0.500593	-1.01239
2.5	3.5	1.5	0.0155458	-0.415585	-0.728698
2.5	3.5	2	0.0358425	-0.294987	-0.550441
2.5	3.5	2.5	0.053509	-0.179446	-0.460236
2.5	3.5	3	0.0659934	-0.0763317	-0.445259
2.5	3.5	3.5	0.0708992	0.0146538	-0.508813
2.5	3.5	4	0.0641743	0.0851837	-0.373464
2.5	3.5	4.5	0.0405753	0.0984115	-4.9095
2.5	4	0.5	-0.00639128	-0.930512	-1.62213
2.5	4	1	-8.70468e-05	-0.818502	-0.92738
2.5	4	1.5	0.0143442	-0.549466	-0.6081
2.5	4	2	0.030187	-0.314613	-0.4349
2.5	4	2.5	0.0436881	-0.128326	-0.357122
2.5	4	3	0.0531129	0.0286401	-0.354273
2.5	4	3.5	0.0567452	0.177053	-0.438283
2.5	4	4	0.0513998	0.321499	-0.360236
2.5	4	4.5	0.0326615	0.429998	-5.00791
2.5	4.5	0.5	-0.00312413	-5.17982	-1.51012
2.5	4.5	1	0.00103287	-3.66971	-0.658344
2.5	4.5	1.5	0.00945866	-3.01136	-0.373247
2.5	4.5	2	0.0183561	-2.63811	-0.248613
2.5	4.5	2.5	0.0257802	-2.3895	-0.200156
2.5	4.5	3	0.030904	-2.18935	-0.20586
2.5	4.5	3.5	0.0328459	-1.98349	-0.293838
2.5	4.5	4	0.0297998	-1.68965	-0.251737
2.5	4.5	4.5	0.0190648	-1.43791	-5.43791

3	0.5	0.5	-0.0388969	1.14999	-1.49659
3	0.5	1	-0.0380325	1.03075	-0.648308
3	0.5	1.5	-0.0166929	0.766114	-0.364206
3	0.5	2	0.0087059	0.538063	-0.241179
3	0.5	2.5	0.0315839	0.357843	-0.195016
3	0.5	3	0.0502275	0.205162	-0.204149
3	0.5	3.5	0.0633037	0.05867	-0.293734
3	0.5	4	0.0662514	-0.0912242	-0.298803
3	0.5	4.5	0.0486665	-0.171396	-5.21197
3	1	0.5	-0.0714026	0.427986	-1.61582
3	1	1	-0.0756577	0.49782	-0.912949
3	1	1.5	-0.0412333	0.416194	-0.592257
3	1	2	0.00311643	0.30005	-0.421399
3	1	2.5	0.0444001	0.188674	-0.347697
3	1	3	0.0784976	0.0886203	-0.350641
3	1	3.5	0.102422	-0.00109452	-0.443629
3	1	4	0.108071	-0.0729787	-0.378975
3	1	4.5	0.0786565	-0.0912437	-5.04057
3	1.5	0.5	-0.0934642	0.173612	-1.54599
3	1.5	1	-0.104638	0.233719	-0.994576
3	1.5	1.5	-0.0644476	0.21519	-0.708401
3	1.5	2	-0.00863933	0.16458	-0.532774
3	1.5	2.5	0.0449831	0.107312	-0.447751
3	1.5	3	0.0898914	0.0531265	-0.440356
3	1.5	3.5	0.121474	0.00622432	-0.515513
3	1.5	4	0.129344	-0.026683	-0.39724
3	1.5	4.5	0.0936943	-0.0320363	-4.94933
3	2	0.5	-0.105632	0.0477261	-1.48588
3	2	1	-0.121893	0.0684789	-1.0131
3	2	1.5	-0.0798201	0.0661393	-0.75901
3	2	2	-0.0183178	0.0522763	-0.590042
3	2	2.5	0.0420636	0.0349437	-0.501937
3	2	3	0.0931353	0.0180302	-0.487258
3	2	3.5	0.129147	0.00357617	-0.54842
3	2	4	0.138483	-0.00605404	-0.402593
3	2	4.5	0.100152	-0.00754644	-4.91729
3	2.5	0.5	-0.109464	-0.0477261	-1.46513
3	2.5	1	-0.127525	-0.0684789	-1.01544
3	2.5	1.5	-0.0850805	-0.0661393	-0.772873
3	2.5	2	-0.0219	-0.0522763	-0.607374
3	2.5	2.5	0.0405985	-0.0349437	-0.518851
3	2.5	3	0.0936483	-0.0180302	-0.501712
3	2.5	3.5	0.131096	-0.00357617	-0.55805
3	2.5	4	0.140945	0.00605404	-0.404085
3	2.5	4.5	0.101902	0.00754644	-4.90975
3	3	0.5	-0.105632	-0.173051	-1.48588
3	3	1	-0.121893	-0.233124	-1.0131
3	3	1.5	-0.0798201	-0.214597	-0.75901
3	3	2	-0.0183178	-0.163988	-0.590042
3	3	2.5	0.0420636	-0.10672	-0.501937
3	3	3	0.0931353	-0.0525346	-0.487258
3	3	3.5	0.129147	-0.00562964	-0.54842
3	3	4	0.138483	0.0272525	-0.402593
3	3	4.5	0.100152	0.0327824	-4.91729
3	3.5	0.5	-0.093463	-0.428547	-1.54595
3	3.5	1	-0.104637	-0.498416	-0.994578
3	3.5	1.5	-0.0644462	-0.416787	-0.708401
3	3.5	2	-0.00863794	-0.300642	-0.532774
3	3.5	2.5	0.0449845	-0.189266	-0.447751
3	3.5	3	0.0898928	-0.0892122	-0.440353
3	3.5	3.5	0.121476	0.000499841	-0.515538
3	3.5	4	0.129345	0.0724092	-0.397063
3	3.5	4.5	0.0936963	0.0904976	-4.95008
3	4	0.5	-0.0714026	-0.927245	-1.61582
3	4	1	-0.0756577	-0.817382	-0.912949
3	4	1.5	-0.0412333	-0.554351	-0.592257
3	4	2	0.00311643	-0.326444	-0.421399
3	4	2.5	0.0444001	-0.146234	-0.347697
3	4	3	0.0784976	0.00643125	-0.350641
3	4	3.5	0.102422	0.153154	-0.443629
3	4	4	0.108071	0.299899	-0.378975
3	4	4.5	0.0786565	0.416401	-5.04057
3	4.5	0.5	-0.0388188	-5.1767	-1.50596
3	4.5	1	-0.0379493	-3.67074	-0.649919
3	4.5	1.5	-0.0166107	-3.02082	-0.364349
3	4.5	2	0.00878783	-2.65647	-0.241189
3	4.5	2.5	0.0316658	-2.41528	-0.195032
3	4.5	3	0.0503093	-2.22025	-0.203918
3	4.5	3.5	0.0633864	-2.01633	-0.296884
3	4.5	4	0.0663274	-1.71945	-0.262472
3	4.5	4.5	0.0487789	-1.45698	-5.45698

3.5	0.5	0.5	-0.123923	1.11748	-1.49573
3.5	0.5	1	-0.100694	0.99313	-0.626969
3.5	0.5	1.5	-0.0417047	0.741574	-0.338807
3.5	0.5	2	0.013229	0.532474	-0.218301
3.5	0.5	2.5	0.0577469	0.37066	-0.176372
3.5	0.5	3	0.094435	0.233432	-0.191073
3.5	0.5	3.5	0.125414	0.097788	-0.290787
3.5	0.5	4	0.145192	-0.0494045	-0.316388
3.5	0.5	4.5	0.124327	-0.141406	-5.26064
3.5	1	0.5	-0.217694	0.405925	-1.62008
